t;Totalizador
2018-03-01 00:00:07.505000-03:00;329
2018-03-01 00:00:22.512000-03:00;330
2018-03-01 00:00:37.504000-03:00;330
2018-03-01 00:00:52.496000-03:00;331
2018-03-01 00:01:07.503000-03:00;331
2018-03-01 00:01:22.511000-03:00;332
2018-03-01 00:01:37.502000-03:00;332
2018-03-01 00:01:52.510000-03:00;333
2018-03-01 00:02:07.502000-03:00;333
2018-03-01 00:02:22.509000-03:00;333
2018-03-01 00:02:37.501000-03:00;334
2018-03-01 00:02:52.508000-03:00;334
2018-03-01 00:03:07.500000-03:00;335
2018-03-01 00:03:22.507000-03:00;335
2018-03-01 00:03:37.499000-03:00;336
2018-03-01 00:03:52.506000-03:00;336
2018-03-01 00:04:07.498000-03:00;337
2018-03-01 00:04:22.506000-03:00;337
2018-03-01 00:04:37.497000-03:00;338
2018-03-01 00:04:52.505000-03:00;338
2018-03-01 00:05:07.512000-03:00;339
2018-03-01 00:05:22.504000-03:00;339
2018-03-01 00:05:37.496000-03:00;339
2018-03-01 00:05:52.503000-03:00;340
2018-03-01 00:06:07.511000-03:00;340
2018-03-01 00:06:22.502000-03:00;341
2018-03-01 00:06:37.510000-03:00;341
2018-03-01 00:06:52.502000-03:00;342
2018-03-01 00:07:07.509000-03:00;342
2018-03-01 00:07:22.501000-03:00;343
2018-03-01 00:07:37.508000-03:00;343
2018-03-01 00:07:52.500000-03:00;344
2018-03-01 00:08:07.507000-03:00;344
2018-03-01 00:08:22.499000-03:00;344
2018-03-01 00:08:37.507000-03:00;345
2018-03-01 00:08:52.498000-03:00;345
2018-03-01 00:09:07.506000-03:00;346
2018-03-01 00:09:22.497000-03:00;346
2018-03-01 00:09:37.505000-03:00;347
2018-03-01 00:09:52.512000-03:00;347
2018-03-01 00:10:07.504000-03:00;348
2018-03-01 00:10:22.496000-03:00;348
2018-03-01 00:10:37.503000-03:00;349
2018-03-01 00:10:52.511000-03:00;349
2018-03-01 00:11:07.502000-03:00;350
2018-03-01 00:11:22.510000-03:00;350
2018-03-01 00:11:37.502000-03:00;350
2018-03-01 00:11:52.509000-03:00;351
2018-03-01 00:12:07.501000-03:00;351
2018-03-01 00:12:22.508000-03:00;352
2018-03-01 00:12:37.500000-03:00;352
2018-03-01 00:12:52.507000-03:00;353
2018-03-01 00:13:07.499000-03:00;353
2018-03-01 00:13:22.507000-03:00;354
2018-03-01 00:13:37.498000-03:00;354
2018-03-01 00:13:52.506000-03:00;355
2018-03-01 00:14:07.498000-03:00;355
2018-03-01 00:14:22.505000-03:00;355
2018-03-01 00:14:37.512000-03:00;356
2018-03-01 00:14:52.504000-03:00;356
2018-03-01 00:15:07.496000-03:00;357
2018-03-01 00:15:22.503000-03:00;357
2018-03-01 00:15:37.511000-03:00;358
2018-03-01 00:15:52.502000-03:00;358
2018-03-01 00:16:07.509000-03:00;359
2018-03-01 00:16:22.500000-03:00;359
2018-03-01 00:16:37.507000-03:00;360
2018-03-01 00:16:52.498000-03:00;360
2018-03-01 00:17:07.505000-03:00;360
2018-03-01 00:17:22.512000-03:00;361
2018-03-01 00:17:37.503000-03:00;361
